activity_type,date_posted,year,activity_title,equipmend_used,indoor_outdoor,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_cadence,max_cadence,avg_pace,best_pace,elev_gain,elev_loss
running,13/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.5,505,33:18:00,150,168,0,--,--,07:24,04:58,141,144
running,11/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.42,625,42:48:00,145,159,0,--,--,07:53,05:48,169,166
cycling,08/02/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.03,"1,571",01:46:53,--,--,0,--,--,16.9,29.1,769,754
running,06/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.24,468,30:49:00,149,168,0,--,--,07:16,04:22,151,245
running,04/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.63,625,42:36:00,149,163,0,--,--,07:34,03:27,171,233
running,02/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.48,495,34:14:00,149,166,0,--,--,07:39,05:21,152,153
running,31/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.77,760,49:14:00,159,168,0,--,--,07:17,04:20,322,321
running,30/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.49,479,33:49:00,153,165,0,--,--,07:31,05:10,163,155
running,28/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.65,623,42:18:00,158,170,0,--,--,07:29,05:37,199,249
running,26/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.15,436,30:45:00,155,169,0,--,--,07:25,05:49,220,217
running,26/01/2015,2015,Running,Nike Running Trainers,outdoor,0,8,00:54.2,119,138,0,--,--,--,--,--,--
running,26/01/2015,2015,Running,Nike Running Trainers,outdoor,0,7,00:48.7,116,129,0,--,--,--,--,--,--
running,24/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.1,696,44:18:00,170,179,0,--,--,07:15,04:35,157,164
running,24/01/2015,2015,Running,Nike Running Trainers,outdoor,0,8,00:47.6,129,151,0,--,--,--,--,--,--
running,22/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.1,428,30:32:00,161,176,0,--,--,07:27,00:26,157,167
running,21/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.35,460,40:16:00,160,177,0,--,--,07:31,00:30,311,319
running,19/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.24,221,31:47:00,159,178,0,--,--,07:30,02:57,175,175
running,19/01/2015,2015,Untitled,Nike Running Trainers,outdoor,0,--,00:01.3,70,70,0,--,--,--,--,--,--
running,18/01/2015,2015,10k Treadmill Run,Nike Running Trainers,outdoor,6.1,335,45:16:00,164,183,0,--,--,07:25,--,--,--
running,18/01/2015,2015,Running,Nike Running Trainers,outdoor,0,--,00:00.8,117,117,0,--,--,--,--,--,--
running,17/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,0.42,753,55:46:00,157,187,0,--,--,--,04:35,18,--
running,17/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,0.42,40,03:10.7,147,161,0,--,--,07:31,06:22,--,17
running,16/01/2015,2015,Untitled,Nike Running Trainers,outdoor,0,1,00:06.0,--,--,0,--,--,31:29:00,08:42,--,--
running,16/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,0,--,00:01.1,--,--,0,--,--,--,--,--,--
cycling,03/01/2015,2015,Indoor cycling,Spinner Bike,indoor,0,751,48:54:00,--,--,0,--,--,--,--,--,--
running,01/01/2015,2015,New Year 10k Run,Nike Running Trainers,outdoor,6.07,295,43:29:00,--,--,0,--,--,07:10,05:20,147,147
cycling,30/12/2014,2014,Spinning ,Spinner Bike,indoor,0,481,48:45:00,--,--,0,--,--,--,--,--,--
running,29/12/2014,2014,10k Treadmill Run,Nike Running Trainers,outdoor,6.1,761,45:45:00,--,--,0,--,--,--,--,--,--
running,23/12/2014,2014,Easy 10k,Nike Running Trainers,outdoor,6.4,745,48:24:00,--,--,0,--,--,07:34,--,--,--
cycling,22/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,649,48:20:00,--,--,0,--,--,--,--,--,--
cycling,20/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,765,50:06:00,--,--,0,--,--,--,--,--,--
cycling,18/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,571,40:08:00,--,--,0,--,--,--,--,--,--
cycling,15/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,723,49:32:00,--,--,0,--,--,--,--,--,--
cycling,13/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,830,53:02:00,--,--,0,--,--,--,--,--,--
cycling,11/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,721,50:33:00,--,--,0,--,--,--,--,--,--
cycling,08/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,618,45:20:00,--,--,0,--,--,--,--,--,--
cycling,07/12/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,36.22,"1,820",02:27:27,--,--,0,--,--,14.7,29.9,"1,001",911
cycling,02/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,649,48:25:00,--,--,0,--,--,--,--,--,--
cycling,01/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,760,48:04:00,--,--,0,--,--,--,--,--,--
cycling,27/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,743,43:46:00,--,--,0,--,--,--,--,--,--
cycling,25/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,808,48:44:00,--,--,0,--,--,--,--,--,--
cycling,10/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,615,47:24:00,--,--,0,--,--,--,--,--,--
cycling,08/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,618,40:59:00,--,--,0,--,--,--,--,--,--
cycling,06/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,693,44:06:00,--,--,0,--,--,--,--,--,--
cycling,03/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,654,46:07:00,--,--,0,--,--,--,--,--,--
cycling,01/11/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,28.93,"1,578",01:38:08,--,--,0,--,--,17.7,31.2,786,786
cycling,28/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,555,39:27:00,--,--,0,--,--,--,--,--,--
cycling,27/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,616,45:45:00,--,--,0,--,--,--,--,--,--
cycling,25/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,687,47:00:00,--,--,0,--,--,--,--,--,--
cycling,21/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,687,36:32:00,--,--,0,--,--,--,--,--,--
cycling,20/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,687,39:00:00,--,--,0,--,--,--,--,--,--
cycling,19/10/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,56.94,"3,108",03:25:23,--,--,0,--,--,16.6,36.2,"1,312","1,286"
cycling,14/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,435,41:32:00,--,--,0,--,--,--,--,--,--
cycling,13/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,435,39:00:00,--,--,0,--,--,--,--,--,--
cycling,12/10/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,31.99,"1,934",01:50:28,--,--,0,--,--,17.4,33.5,973,961
cycling,12/10/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,52.64,"3,089",03:13:46,--,--,0,--,--,16.3,36.5,"2,474","2,467"
cycling,11/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,435,41:12:00,--,--,0,--,--,--,--,--,--
cycling,07/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,435,40:33:00,--,--,0,--,--,--,--,--,--
cycling,06/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,435,39:15:00,--,--,0,--,--,--,--,--,--
running,04/10/2014,2014,Untitled,Nike Running Trainers,outdoor,4.99,335,36:13:00,--,--,0,--,--,07:15,04:43,145,145
running,01/10/2014,2014,Treadmill Run ,Nike Running Trainers,outdoor,4.1,--,28:39:00,--,--,0,--,--,--,--,--,--
running,30/09/2014,2014,Treadmill Run,Nike Running Trainers,outdoor,5.1,--,36:20:00,--,--,0,--,--,--,--,--,--
running,28/09/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.26,150,38:28:00,--,--,0,--,--,07:19,05:29,230,251
cycling,27/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,27.17,"1,596",01:34:56,--,--,0,--,--,17.2,31.3,917,916
cycling,24/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,28.44,"1,610",01:37:34,--,--,0,--,--,17.5,28.6,634,633
running,23/09/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,8.12,506,01:01:07,--,--,0,--,--,07:32,05:55,397,374
running,17/09/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,3.94,187,28:48:00,--,--,0,--,--,07:19,05:53,159,156
running,16/09/2014,2014,Untitled,Nike Running Trainers,outdoor,5.58,275,40:33:00,--,--,0,--,--,07:16,03:32,134,132
cycling,14/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,51.81,"2,994",03:11:48,--,--,0,--,--,16.2,32.2,"2,213","2,222"
cycling,12/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,16.89,979,56:30:00,--,--,0,--,--,17.9,34.4,507,509
cycling,06/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,31.61,"1,808",01:47:49,--,--,0,--,--,17.6,29,739,744
cycling,04/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0.35,79,02:36.1,--,--,0,--,--,8.1,21.6,176,--
cycling,04/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0.66,20,04:08.8,--,--,0,--,--,9.6,21.8,10,246
cycling,04/09/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0.86,83,04:48.2,--,--,0,--,--,10.7,21.6,198,245
cycling,31/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,15.04,943,49:02:00,--,--,0,--,--,18.4,31.5,572,553
cycling,30/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,33.49,"1,970",01:56:10,--,--,0,--,--,17.3,32.5,981,985
cycling,28/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,7.56,432,25:23:00,--,--,0,--,--,17.9,28.8,192,196
cycling,28/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.06,611,26:26:00,--,--,0,--,--,22.8,29.7,111,101
cycling,28/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,5.35,293,17:12,--,--,0,--,--,18.7,28.3,57,46
cycling,28/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,6.62,349,24:05:00,--,--,0,--,--,16.5,26.7,156,132
running,22/08/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.66,228,33:54:00,--,--,0,--,--,07:16,05:21,163,155
running,18/08/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.12,252,38:00:00,--,--,0,--,--,07:25,05:40,177,152
cycling,16/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,21.36,"1,275",01:19:16,--,--,0,--,--,16.2,33,"1,211","1,210"
cycling,14/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,6.56,378,21:17,--,--,0,--,--,18.5,31.1,167,197
cycling,14/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.06,638,26:35:00,--,--,0,--,--,22.7,26.6,125,99
cycling,14/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,2.74,157,08:43.7,--,--,0,--,--,18.8,25.6,19,28
cycling,14/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,6.62,360,22:02,--,--,0,--,--,18,30.2,159,133
running,11/08/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.28,233,33:13:00,--,--,0,--,--,07:46,05:39,118,122
cycling,09/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.04,"1,781",01:38:51,--,--,0,--,--,18.2,30.9,821,800
cycling,07/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,15.13,921,41:25:00,--,--,0,--,--,21.9,30.6,172,170
cycling,07/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,4.61,262,15:15,--,--,0,--,--,18.1,26.4,53,57
cycling,05/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,23.62,"1,406",01:26:02,--,--,0,--,--,16.5,35.2,"1,266","1,257"
cycling,03/08/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,26.65,"1,483",01:30:56,--,--,0,--,--,17.6,31.9,620,621
cycling,28/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0.15,13,30:02:00,--,--,0,--,--,0.3,7.5,--,--
cycling,28/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0,--,00:02.2,--,--,0,--,--,--,--,--,--
cycling,26/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,36.82,"2,058",02:00:32,--,--,0,--,--,18.3,29.6,872,872
cycling,24/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,1.84,85,08:43.4,--,--,0,--,--,12.7,18.4,31,22
cycling,24/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.13,635,27:22:00,--,--,0,--,--,22.2,28.4,193,192
cycling,24/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,3.89,203,13:31,--,--,0,--,--,17.3,27.5,5,36
cycling,22/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,32.04,"1,893",01:48:16,--,--,0,--,--,17.8,31.4,"1,012",990
cycling,20/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,50.92,"2,941",02:55:14,--,--,0,--,--,17.4,39.7,"1,935","1,917"
running,19/07/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,3.98,121,29:51:00,--,--,0,--,--,07:30,05:39,155,128
running,17/07/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.34,247,39:26:00,--,--,0,--,--,07:23,05:27,200,201
cycling,15/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,24.43,"1,478",01:20:42,--,--,0,--,--,18.2,38.8,"1,098","1,094"
running,13/07/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.14,314,38:57:00,--,--,0,--,--,07:35,05:50,311,311
cycling,12/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,38.8,"2,321",02:11:54,--,--,0,--,--,17.6,29.4,"1,320","1,328"
running,11/07/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,3.93,205,27:58:00,--,--,0,--,--,07:07,05:19,151,126
cycling,10/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,15.32,964,43:08:00,--,--,0,--,--,21.3,29.5,151,146
cycling,10/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,4.36,239,14:43,--,--,0,--,--,17.8,23.9,30,33
cycling,08/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,23.63,"1,391",01:20:14,--,--,0,--,--,17.7,30.8,997,973
cycling,06/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,23.63,"1,398",01:20:55,--,--,0,--,--,17.5,30.8,"1,029","1,003"
running,05/07/2014,2014,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.01,183,29:08:00,--,--,0,--,--,07:15,05:49,125,127
cycling,04/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,28.27,"1,647",01:33:36,--,--,0,--,--,18.1,28.3,658,662
cycling,03/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.6,608,29:11:00,--,--,0,--,--,21.8,31.3,124,124
cycling,03/07/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,2.6,146,08:59.3,--,--,0,--,--,17.3,24.1,27,21
cycling,30/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,15,895,49:44:00,--,--,0,--,--,18.1,28.6,529,521
cycling,26/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,14.98,880,51:14:00,--,--,0,--,--,17.5,30.8,550,528
cycling,21/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,105.29,"6,327",06:37:24,--,--,0,--,--,15.9,43.2,"5,939","5,924"
cycling,21/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,5.61,250,25:58:00,--,--,0,--,--,13,18.3,39,50
cycling,15/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,61.03,"3,720",03:34:33,--,--,0,--,--,17.1,40.7,"2,926","2,924"
cycling,12/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,15.15,926,41:39:00,--,--,0,--,--,21.8,29.4,174,165
cycling,12/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,3.85,210,12:18,--,--,0,--,--,18.8,29.4,33,28
cycling,11/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,22.28,"1,279",01:11:55,--,--,0,--,--,18.6,29.6,456,458
cycling,07/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,62.88,"3,714",03:47:14,--,--,0,--,--,16.6,43.5,"3,074","3,070"
cycling,05/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,1.15,60,05:30.2,--,--,0,--,--,12.6,20.9,20,--
cycling,05/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.16,628,26:14:00,--,--,0,--,--,23.2,28.1,123,96
cycling,05/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,8.17,433,28:04:00,--,--,0,--,--,17.5,27.3,95,135
cycling,03/06/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,23.63,"1,429",01:16:14,--,--,0,--,--,18.6,36.3,974,953
cycling,31/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,31.69,"1,822",01:52:19,--,--,0,--,--,16.9,29.4,"1,078","1,053"
cycling,29/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,25.51,"1,617",01:14:15,--,--,0,--,--,20.6,30.8,432,432
cycling,29/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,3.38,222,11:24,--,--,0,--,--,17.8,27.7,24,22
cycling,26/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,16.03,920,54:41:00,--,--,0,--,--,17.6,39.4,549,524
cycling,25/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,29.16,"1,678",01:34:39,--,--,0,--,--,18.5,38.5,781,758
cycling,24/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.65,"1,546",02:03:12,--,--,0,--,--,14.9,26.1,709,707
cycling,22/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,16.64,"1,082",50:30:00,--,--,0,--,--,19.8,35.9,"1,117","1,115"
cycling,22/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,1.26,72,04:25.1,--,--,0,--,--,17.2,26,6,--
cycling,20/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,27.64,"1,654",01:31:01,--,--,0,--,--,18.2,29.8,789,787
cycling,11/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,29.09,--,01:36:00,--,--,0,--,--,18.2,28.9,551,552
cycling,08/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,25.55,"1,560",01:08:55,--,--,0,--,--,22.2,33,510,508
cycling,08/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,3.65,200,12:10,--,--,0,--,--,18,26.6,29,30
cycling,07/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0,--,54:08:00,--,--,0,--,--,--,--,--,--
cycling,05/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.37,"1,825",01:35:51,--,--,0,--,--,19,31.6,678,681
cycling,03/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,16.06,973,52:36:00,--,--,0,--,--,18.3,30.3,547,544
cycling,01/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,15.15,960,40:49:00,--,--,0,--,--,22.3,30.1,177,172
cycling,01/05/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,2.59,142,09:11.9,--,--,0,--,--,16.9,29.4,25,24
cycling,30/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0,--,35:01:00,--,--,0,--,--,--,--,--,--
cycling,26/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,88.75,"5,405",05:38:30,--,--,0,--,--,15.7,38.4,"5,812","5,818"
cycling,24/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.56,654,29:35:00,--,--,0,--,--,21.4,27,118,115
cycling,24/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,4.51,275,18:37,--,--,0,--,--,14.5,28.9,53,49
cycling,23/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,15.97,936,53:42:00,--,--,0,--,--,17.8,32.4,644,645
cycling,20/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,31.58,"1,841",01:44:05,--,--,0,--,--,18.2,28.6,"1,158","1,165"
cycling,19/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,32.07,"1,846",01:48:11,--,--,0,--,--,17.8,30.9,"1,365","1,312"
cycling,17/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.18,588,28:38:00,--,--,0,--,--,21.3,28.9,123,106
cycling,17/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,4.55,258,15:07,--,--,0,--,--,18.1,28.4,61,62
cycling,16/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,28.94,"1,674",01:36:23,--,--,0,--,--,18,30.3,656,655
cycling,13/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.24,537,22:45,--,--,0,--,--,27,37.8,135,354
cycling,13/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,3.73,209,20:26,--,--,0,--,--,11,30.7,138,95
cycling,12/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,3.96,220,14:32,--,--,0,--,--,16.3,29.5,167,240
cycling,10/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,10.48,568,31:25:00,--,--,0,--,--,20,31.7,116,110
cycling,10/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,4,228,14:52,--,--,0,--,--,16.2,27.8,72,57
cycling,08/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0.01,--,35:08:00,--,--,0,--,--,0,--,--,--
cycling,06/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0,--,50:01:00,--,--,0,--,--,--,--,--,--
cycling,05/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.31,"1,749",01:43:05,--,--,0,--,--,17.6,29.9,"1,002",982
cycling,04/04/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,0,--,35:08:00,--,--,0,--,--,--,--,--,--
cycling,29/03/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,62.84,"3,488",03:51:37,--,--,0,--,--,16.3,30.5,"2,034","2,038"
cycling,22/03/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,22.47,"1,309",01:13:54,--,--,0,--,--,18.2,30,475,488
cycling,18/03/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,19.63,"1,113",01:06:35,--,--,0,--,--,17.7,29.4,561,543
cycling,16/03/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.82,"1,784",01:52:37,--,--,0,--,--,16.4,35.1,"1,478","1,493"
